Comment,Designator,Footprint,LCSC
"4.7uF/16V","C101,C103,C109","Capacitor_SMD:C_0603_1608Metric","C19666"
"4.7uF","C102","Capacitor_SMD:C_0603_1608Metric","C19666"
"30pf","C104,C107","Capacitor_SMD:C_0402_1005Metric"," C1570"
"10uF/50V","C301","Capacitor_SMD:C_1206_3216Metric","C13585"
"100nF","C105,C106,C108,C110,C305","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF/50V","C503","Capacitor_SMD:C_0805_2012Metric","C28323"
"RED LED","D101","LED_SMD:LED_0603_1608Metric","C2286"
"GZ2012D601TF","FB101,FB102,FB401","Inductor_SMD:L_0805_2012Metric","C1017"
"USB_B_Micro","J101","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical","C145795"
"IO2","J102","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical",""
"IO1","J103","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical",""
"12k","R102","Resistor_SMD:R_0402_1005Metric","C25752"
"2k","R103,R106","Resistor_SMD:R_0402_1005Metric","C12447"
"10k","R101,R104","Resistor_SMD:R_0402_1005Metric","C25744"
"15k","R105","Resistor_SMD:R_0402_1005Metric","C25756"
"AMS1117-3.3","U101","Package_TO_SOT_SMD:SOT-223-3_TabPin2"," C6186"
"93LC56BT-I/OT","U102","Package_TO_SOT_SMD:SOT-23-6","C190271"
"FT2232HL","U103","Package_QFP:LQFP-64_10x10mm_P0.5mm","C27882"
"RCLAMP0524P-N","U402","Package_DFN_QFN:Diodes_UDFN-10_1.0x2.5mm_P0.5mm","C316044"
"X322512MSB4SI","Y101","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm"," C9002"
