Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C101","4.7uF/16V","C_0603_1608Metric",116.880000,-81.670000,0.000000,top
"C102","4.7uF","C_0603_1608Metric",134.750000,-82.820000,0.000000,top
"C103","4.7uF/16V","C_0603_1608Metric",120.200000,-86.230000,180.000000,top
"C104","30pf","C_0402_1005Metric",124.210000,-82.630000,90.000000,top
"C105","100nF","C_0402_1005Metric",134.440000,-81.570000,0.000000,top
"C106","100nF","C_0402_1005Metric",119.140000,-85.020000,180.000000,top
"C107","30pf","C_0402_1005Metric",118.950000,-81.880000,270.000000,top
"C108","100nF","C_0402_1005Metric",132.570000,-81.570000,0.000000,top
"C109","4.7uF/16V","C_0603_1608Metric",119.650000,-89.460000,180.000000,top
"C110","100nF","C_0402_1005Metric",120.360000,-91.140000,270.000000,top
"C301","10uF/50V","C_1206_3216Metric",106.200000,-78.220000,90.000000,top
"C305","100nF","C_0402_1005Metric",110.390000,-91.620000,90.000000,top
"C503","1uF/50V","C_0805_2012Metric",106.950000,-82.890000,180.000000,top
"D101","RED LED","LED_0603_1608Metric",107.200000,-95.300000,0.000000,top
"FB101","GZ2012D601TF","L_0805_2012Metric",119.010000,-91.990000,270.000000,top
"FB102","GZ2012D601TF","L_0805_2012Metric",117.180000,-83.660000,180.000000,top
"FB401","GZ2012D601TF","L_0805_2012Metric",109.800000,-84.280000,270.000000,top
"R101","10k","R_0402_1005Metric",110.660000,-81.030000,0.000000,top
"R102","12k","R_0402_1005Metric",120.710000,-87.470000,180.000000,top
"R103","2k","R_0402_1005Metric",110.660000,-82.010000,180.000000,top
"R104","10k","R_0402_1005Metric",121.350000,-91.160000,90.000000,top
"R105","15k","R_0402_1005Metric",120.890000,-93.150000,0.000000,top
"R106","2k","R_0402_1005Metric",109.800000,-95.200000,180.000000,top
"U101","AMS1117-3.3","SOT-223-3_TabPin2",114.510000,-88.930000,90.000000,top
"U102","93LC56BT-I/OT","SOT-23-6",113.470000,-82.500000,270.000000,top
"U103","FT2232HL","LQFP-64_10x10mm_P0.5mm",129.020000,-88.860000,270.000000,top
"U402","RCLAMP0524P-N","Diodes_UDFN-10_1.0x2.5mm_P0.5mm",109.900000,-87.600000,90.000000,top
"Y101","X322512MSB4SI","Crystal_SMD_3225-4Pin_3.2x2.5mm",121.580000,-82.660000,0.000000,top
